place_description_problem;service_description_problem;place_id;service_id;service_name;place_name;place_description;service_description
horaire;;5addaf357cdc26742ba37a09;6181a7768ac6b179ffba1163;Accompagnement social;Association Ikambere « La Maison Accueillante »;<p>Ikambere est un centre de ressources qui permet aux femmes vulnérables infectées par le VIH d'accéder à l'autonomie par une insertion sociale et professionnelle.</p><p>Ikambere apporte au quotidien une prise en charge globale aux femmes fragilisées par la vie et la maladie et les accompagne vers l'autonomie.</p><p><strong>Les activités proposées sont destinées aux bénéficiaires de l'association (femmes touchées par le VIH).</strong></p><p><i>L'accueil est ouvert jusqu'à 18h, mais les professionnels et les services ne sont ouverts que jusqu'à 17h.</i></p>;"Accompagnement social adapt&#233; et personnalis&#233; (&#233;quipe de 3 assistantes sociales) : d&#233;marches administratives, aide &#224; la r&#233;gularisation, recherche logement et h&#233;bergement, allocations&#8230;"
horaire;;5addaf357cdc26742ba37a09;6181a7768ac6b179ffba1164;Conseil aux parents;Association Ikambere « La Maison Accueillante »;<p>Ikambere est un centre de ressources qui permet aux femmes vulnérables infectées par le VIH d'accéder à l'autonomie par une insertion sociale et professionnelle.</p><p>Ikambere apporte au quotidien une prise en charge globale aux femmes fragilisées par la vie et la maladie et les accompagne vers l'autonomie.</p><p><strong>Les activités proposées sont destinées aux bénéficiaires de l'association (femmes touchées par le VIH).</strong></p><p><i>L'accueil est ouvert jusqu'à 18h, mais les professionnels et les services ne sont ouverts que jusqu'à 17h.</i></p>;"<p>Accompagnement &#224; la parentalit&#233;&#160;</p>"
horaire;;5addaf357cdc26742ba37a09;6181a7768ac6b179ffba1165;Atelier numérique;Association Ikambere « La Maison Accueillante »;<p>Ikambere est un centre de ressources qui permet aux femmes vulnérables infectées par le VIH d'accéder à l'autonomie par une insertion sociale et professionnelle.</p><p>Ikambere apporte au quotidien une prise en charge globale aux femmes fragilisées par la vie et la maladie et les accompagne vers l'autonomie.</p><p><strong>Les activités proposées sont destinées aux bénéficiaires de l'association (femmes touchées par le VIH).</strong></p><p><i>L'accueil est ouvert jusqu'à 18h, mais les professionnels et les services ne sont ouverts que jusqu'à 17h.</i></p>;Atelier informatique.
horaire;;5addaf357cdc26742ba37a09;6181a7768ac6b179ffba1166;Cours de français;Association Ikambere « La Maison Accueillante »;<p>Ikambere est un centre de ressources qui permet aux femmes vulnérables infectées par le VIH d'accéder à l'autonomie par une insertion sociale et professionnelle.</p><p>Ikambere apporte au quotidien une prise en charge globale aux femmes fragilisées par la vie et la maladie et les accompagne vers l'autonomie.</p><p><strong>Les activités proposées sont destinées aux bénéficiaires de l'association (femmes touchées par le VIH).</strong></p><p><i>L'accueil est ouvert jusqu'à 18h, mais les professionnels et les services ne sont ouverts que jusqu'à 17h.</i></p>;"Atelier alphab&#233;tisation."
horaire;;5addaf357cdc26742ba37a09;6181a7768ac6b179ffba1167;Accompagnement à l'emploi;Association Ikambere « La Maison Accueillante »;<p>Ikambere est un centre de ressources qui permet aux femmes vulnérables infectées par le VIH d'accéder à l'autonomie par une insertion sociale et professionnelle.</p><p>Ikambere apporte au quotidien une prise en charge globale aux femmes fragilisées par la vie et la maladie et les accompagne vers l'autonomie.</p><p><strong>Les activités proposées sont destinées aux bénéficiaires de l'association (femmes touchées par le VIH).</strong></p><p><i>L'accueil est ouvert jusqu'à 18h, mais les professionnels et les services ne sont ouverts que jusqu'à 17h.</i></p>;"<p>Accompagnement vers l&#8217;insertion professionnelle : suivi individuel par une conseill&#232;re en insertion et ateliers collectifs</p><p>Aide &#224; la r&#233;daction de CV, lettres de motivation, pr&#233;paration aux entretiens d'embauche.</p>"
horaire;;5addaf357cdc26742ba37a09;6181a7768ac6b179ffba1168;Bien-être;Association Ikambere « La Maison Accueillante »;<p>Ikambere est un centre de ressources qui permet aux femmes vulnérables infectées par le VIH d'accéder à l'autonomie par une insertion sociale et professionnelle.</p><p>Ikambere apporte au quotidien une prise en charge globale aux femmes fragilisées par la vie et la maladie et les accompagne vers l'autonomie.</p><p><strong>Les activités proposées sont destinées aux bénéficiaires de l'association (femmes touchées par le VIH).</strong></p><p><i>L'accueil est ouvert jusqu'à 18h, mais les professionnels et les services ne sont ouverts que jusqu'à 17h.</i></p>;"Atelier de socio-esth&#233;tique"
horaire;;5addaf357cdc26742ba37a09;6181a7768ac6b179ffba1169;Ordinateur;Association Ikambere « La Maison Accueillante »;<p>Ikambere est un centre de ressources qui permet aux femmes vulnérables infectées par le VIH d'accéder à l'autonomie par une insertion sociale et professionnelle.</p><p>Ikambere apporte au quotidien une prise en charge globale aux femmes fragilisées par la vie et la maladie et les accompagne vers l'autonomie.</p><p><strong>Les activités proposées sont destinées aux bénéficiaires de l'association (femmes touchées par le VIH).</strong></p><p><i>L'accueil est ouvert jusqu'à 18h, mais les professionnels et les services ne sont ouverts que jusqu'à 17h.</i></p>;"Cyber espace, selon disponibilit&#233; de la salle"
horaire;;5addaf357cdc26742ba37a09;6181a7768ac6b179ffba116a;Distribution de repas;Association Ikambere « La Maison Accueillante »;<p>Ikambere est un centre de ressources qui permet aux femmes vulnérables infectées par le VIH d'accéder à l'autonomie par une insertion sociale et professionnelle.</p><p>Ikambere apporte au quotidien une prise en charge globale aux femmes fragilisées par la vie et la maladie et les accompagne vers l'autonomie.</p><p><strong>Les activités proposées sont destinées aux bénéficiaires de l'association (femmes touchées par le VIH).</strong></p><p><i>L'accueil est ouvert jusqu'à 18h, mais les professionnels et les services ne sont ouverts que jusqu'à 17h.</i></p>;Repas offert tous les jours du lundi au vendredi
horaire;horaire;5addaf357cdc26742ba37a09;6181a7768ac6b179ffba116b;Colis alimentaire;Association Ikambere « La Maison Accueillante »;<p>Ikambere est un centre de ressources qui permet aux femmes vulnérables infectées par le VIH d'accéder à l'autonomie par une insertion sociale et professionnelle.</p><p>Ikambere apporte au quotidien une prise en charge globale aux femmes fragilisées par la vie et la maladie et les accompagne vers l'autonomie.</p><p><strong>Les activités proposées sont destinées aux bénéficiaires de l'association (femmes touchées par le VIH).</strong></p><p><i>L'accueil est ouvert jusqu'à 18h, mais les professionnels et les services ne sont ouverts que jusqu'à 17h.</i></p>;<p>Distribution des colis alimentaires les jeudis 2 fois par mois de 11h à 13h. Colis adaptés pour les publics sans cuisine à l'hôtel.</p>
horaire;;5addaf357cdc26742ba37a09;6181a7768ac6b179ffba116c;Accueil de jour;Association Ikambere « La Maison Accueillante »;<p>Ikambere est un centre de ressources qui permet aux femmes vulnérables infectées par le VIH d'accéder à l'autonomie par une insertion sociale et professionnelle.</p><p>Ikambere apporte au quotidien une prise en charge globale aux femmes fragilisées par la vie et la maladie et les accompagne vers l'autonomie.</p><p><strong>Les activités proposées sont destinées aux bénéficiaires de l'association (femmes touchées par le VIH).</strong></p><p><i>L'accueil est ouvert jusqu'à 18h, mais les professionnels et les services ne sont ouverts que jusqu'à 17h.</i></p>;"Accueil de jour avec diff&#233;rentes activit&#233;s r&#233;parties dans la semaine"
